We do not believe that we should c her ry - p ick ||| Wir glau ben nicht , daß wir nur R os in en heraus p ick en sollten
We have taken note of this ||| Wir haben das zur Kennt nis gen ommen
Mr President, concerning item 1 1 of the Min utes on the order of bus ines s, we ag reed yesterday to have the B our l ang es report on today 's agenda ||| Herr Präsident, ich be zie he mich auf Punkt 1 1 des Protok oll s bet reff end den Arbeitsp lan . Wir k amen gest ern über ein , den Bericht B our lang es auf die Tagesordnung von heute zu setz en
However, it was with d ra wn from the Committee on B udget s last n ight without being discuss ed or voted on ||| Der Bericht wurde gest ern a ben d jedoch vom Haushalts ausschuß w eder ber aten noch wurde darüber abge stimm t
It therefore needs to be with d ra wn from today 's agenda ||| Er muß daher von der heu tigen Tagesordnung ab gesetzt werden
Mr W y n n , that makes sense ||| Herr W y nn , das ist l og isch
The report is here b y with d ra wn from the agenda ||| Der Bericht ist so mit von der Tagesordnung ab gesetzt
Mr President, regarding Mrs L y n ne 's comments yesterday about health and safety in this build ing, I pres u me she was talking about the dra in s because there is a d read ful s me ll of dra in s on the f if th f lo or in the T ow er ||| Herr Präsident, ich be zie he mich auf das, was Frau L y nn e gest ern über Sicherheit und Ges undheit s schutz in diesem Geb ä u de gesagt hat. Ich n eh me an, daß sie die S an itä r ein richt ungen mein te, nach denen es in der f ün ften E t age des T ur m s sehr stark r ie cht
This needs to be look ed into because it is clearly an indic ation that something is serious ly wr ong ||| Hier muß un beding t etwas unter n ommen werden, denn der Ger uch d eute t eindeutig darauf hin , daß hier etwas nicht stimm t
I do not want to dra g up the issue of this build ing end less ly, but this is a serious problem ||| Ich will nicht end los auf diesem Thema her um reit en, aber wir haben es hier mit einem ern sten Problem zu tun
Mrs A her n , we have taken note of this ||| Frau A h ern, wir haben das zur Kennt nis gen ommen
I would ask you to bring this specific case, which has to do with the v enti l at ors on a particular f lo or , to the attention of the Q u a est or s, who are , in fact, responsible for the matter ||| Ich möchte Sie bit ten, diesen spezie llen Fall , der sich auf V en ti l at oren in einem bestimm ten St ock werk be zieh t, an die Qu äst oren her an zu t ragen, weil die eigentlich dafür zuständ ig sind
We will also pass this on to our servic es, how ever ||| Wir werden das aber auch an unsere D ien ste weiter geben
Thank you very much ||| Vielen Dank !
( T he Min utes were approved ) ||| (D as Parlament gen ehm igt das Protok oll . )
R ef orm of European competition policy ||| Reform der europäischen Wettbewerbspolitik
The next item is the joint debate on the following report s : ||| Nach der Tagesordnung fol gt die gemeinsame Aussprache über die folgen den Ber ichte :
A 5- 00 6 9 /1999 by Mr v on W og au , on behalf of the Committee on E conom ic and Mon etary Affair s, on the Commission White Paper on modern isation of the rules implementing Artic les 8 5 and 8 6 of the E C Treaty [ CO M ( 1999 ) 1 01 - C 5- 01 0 5 /1999 - 1999 /2 1 0 8 ( CO S ) ] ; ||| A 5- 00 6 9 /1999 von Herrn von W og au im Namen des Ausschusses für Wirtschaft und Währ ung zum Weißbuch der Kommission ( K O M ( 1999 ) 1 0 1 - C 5- 0 1 0 5 /1999 - 1999 / 2 1 0 8 ( C O S ) ) über die Mo der nis ierung der Vorschriften zur Anwendung der Artikel 8 5 und 8 6 des E G - V ert rag s ;
A 5- 00 7 8 /1999 by Mr R ap k ay , on behalf of the Committee on E conom ic and Mon etary Affair s, on the European Commission' s X X V I I I th Report on C om pe ti tion Polic y 1998 [ S E K ( 1999 ) 7 4 3 - C 5- 01 2 1 /1999 - 1999 /2 1 2 4 ( CO S ) ] ; ||| A 5- 00 7 8 /1999 von Herrn R ap ka y im Namen des Ausschusses für Wirtschaft und Währ ung zum X X V I I I . Bericht der Kommission ( S E K ( 1999 ) 7 4 3 - C 5- 0 1 2 1 /1999 - 1999 / 2 1 2 4 ( C O S ) ) über die Wettbewerbspolitik 199 8 ;
A 5- 00 8 7 /1999 by Mr J on ck he er, on behalf of the Committee on E conom ic and Mon etary Affair s, on the se vent h sur ve y on state aid in the European Union in the manufact uring and certain other sector s. [ CO M ( 1999 ) 1 4 8 - C 5- 01 0 7 /1999 - 1999 /2 1 1 0 ( CO S ) ] ( R ep ort 199 5- 199 7 ) ; ||| A 5- 00 8 7 /1999 von Herrn J on ck he er im Namen des Ausschusses für Wirtschaft und Währ ung zum sie b ten Bericht der Kommission ( K O M ( 1999 ) 1 4 8 - C 5- 0 1 0 7 /1999 - 1999 / 2 1 1 0 ( C O S ) ) über staat liche Beihilfen in der Europäischen Union im ver arbeit enden Ge wer be und in einigen weiteren S ekt oren ( B er icht 199 5- 199 7 ) ;
A 5- 00 7 3 /1999 by Mr L ang en, on behalf of the Committee on E conom ic and Mon etary Affair s, on the Commission Report on the implementation in 1998 of Commission D ec ision No . 2 4 9 6 / 9 6 / E C S C of 1 8 De ce mber 199 6 establishing Community rules for State aid to the steel industry ( S t eel A id C od e ) . [ CO M ( 1999 ) 9 4 - C 5- 01 0 4 /1999 - 1999 /2 1 0 7 ( CO S ) ] ||| A 5- 00 7 3 /1999 von Herrn L angen im Namen des Ausschusses für Wirtschaft und Währ ung zum Bericht der Kommission ( K O M ( 1999 ) 9 4 - C 5- 0 1 0 4 /1999 - 1999 / 2 1 0 7 ( C O S ) ) über die Anwendung ihrer Entscheidung Nr . 2 4 9 6 / 9 6 / E G K S vom 1 8 . De z ember 199 6 zur Einführung gemeinschaft licher Vorschriften über Beihilfen an die E isen - und Stahl industrie ( S t ahl bei hil fen ko de x ) im Jahre 199 8
Mr President, Commissioner, today we are en g aged in an important debate about the European Union' s competition policy ||| Herr Präsident, Herr Kommissar ! Kolleginnen und Kollegen!
We are deb ating a high ly cont ro ver si al modern isation proposal for European mon op o lies law , that is Mr v on W og au ' s report, and it is far more cont ro ver si al than the vote in the Committee on E conom ic and Mon etary Affairs may have given us reason to believe ||| Wir führen heute eine wichtige Debatte über die Wettbewerbspolitik der Europäischen Union . Wir d ebat tieren über ein sehr um st ritten es Mo der nis ierungs vor hab en im europäischen K ar te ll rech t, nämlich den Bericht von W og au , und das ist sehr viel um st ritten er, als es vielleicht die Abstimmung im Wirtschafts ausschuß deutlich gemacht hat
I want to make it quite clear that in this specific case I person ally consider the Commission' s proposal to be wr ong and feel that it remain s to be seen as to whether we are t ru ly jus tif ied in using the term " m od ern isation " to des c rib e the cont ent of Artic les 8 1 and 8 2 of the White P ap er, or whether in this case it would be more appropriate to use the exp ression " ret ro gra de step " ||| Ich will durch aus sagen, daß ich p ers ön lich in diesem konkreten Fall den Vorschlag der Kommission für f al sch hal te, daß sich noch heraus stellen muß, ob der Beg riff Mo der nis ierung für den In halt des Weißbuch es zu Artikel 8 1 und 8 2 wirklich gerecht fer tig t ist oder ob in diesem Fall nicht e her Rück sch ritt der ge eig ne te Beg riff wäre
However, we are also discuss ing the aid report today and the general competition report for 1998 , and my contribution to this joint debate rel ates to the l at ter ||| Wir re den heute aber auch über den Beihilfen ber icht und den allgemein en Wettbewerbs ber icht für 199 8 , wobei mein Part in dieser gemeinsamen Aussprache den l etzt eren Bereich betrifft
But , of course, both the competition report and the aid report share common ground in this White Paper ||| Aber bei de Ber ichte - der Wettbewerbs ber icht und der Beihilfen ber icht - haben natürlich auch eine gemeinsame Grund lin ie in diesem Weißbuch
It is all about the need for modern isation and the future vi ability of the European competition policy ||| Es geht um den A nsp ruch der Mo der nis ierung , um die Zukunft stau glich keit der europäischen Wettbewerbspolitik
On read ing both Commission document s, one le arn s that 1998 was the year in which the modern isation proposals introdu ced in 1997 were purs u ed and even parti ally comple t ed, which is something our own on go ing parliament ary work has t au ght us ||| L ie st man bei de Kommissions d ok umen te, so war 199 8 ein Jahr , in dem die 1997 eing el eite ten Mo der nis ierungs vor hab en fort ge führt und in Teil en noch abge schlossen wurden ; das w issen wir selbst aus unserer l au fen den p ar la ment ar ischen Arbeit
A llow me to make two fundamental comments at this j un ct ure . As the compe t ent authority , the Commission, with its l og ic ally cons ist ent approach , has again and again s er ved the cause of freedom of competition , not always to the de light of the Member States or enter p ris es concerned ||| Lassen Sie mich zwei grund sätz liche An merk ungen dazu machen : Die Kommission als zuständ ige Behörde hat sich mit ihrer kon se qu en ten H altung immer wieder um die Wettbewerbs f rei heit ver di ent gem ach t, nicht immer zur F reu de der betroffen en Mitgliedstaaten oder Unternehmen
It should continue al ong this p ath ||| Sie sollte diesen Weg fort setz en
But , Commissioner, n one of this is to become less comp lic ated in future - one only has to think of the chall eng es pos ed by the enlargement of the Union, the de ep ening of the internal market , techn ological prog res s, global isation ||| Aber , Herr Kommissar, das alles wird künftig nicht weniger k omp l iz iert - ich erinn ere nur an die Heraus forder ung durch die Erweiterung der Union, die Vert ie f ung des Binnenmarkt es, den techn olog ischen Fortsch rit t, die G lob alisierung
Inde ed, it is not just about modern isation of Community law , more than any thing it is about transparency of decisions taken in individual cas es, about the possibility of decisions actually being able to implement decision s, for the European competition policy will be dep end ent on the population ' s accept ance, together with that of the political bod ies and enter p ris es concerned ||| Es kommt eben nicht nur auf die Mo der nis ierung des Gemeinschafts recht s an, es kommt mehr denn je auf Transparenz der Ein zel fall entscheid ungen an, auf die Möglichkeit , Entscheidungen auch nach voll zie hen zu können, denn die europäische Wettbewerbspolitik wird auf die Ak zept anz der Bevölkerung sowie bei den betroffen en politischen G rem ien und bei den betroffen en Unternehmen ange wiesen sein
On ly, without transparency there will be no accept ance, indeed there can be no modern isation without transparency ||| N ur - ohne Transparenz keine Ak zept anz , und dann eben auch keine Mo der nis ierung ohne Transparenz
The competition report 1998 is not a b ad found ation for this but, in fact, there is nothing that could not be further impro ved upon ||| Der Wettbewerbs ber icht 199 8 ist keine schl ech te Grundlage dafür, aber es gibt eben nicht s, was nicht noch besser zu machen wäre
Our motion will give you a great deal of food for thought , Commissioner, but there is one point that I would just like to go into now . Trans p ar ency and account ability be l ong together ||| Eine Rei he von An reg ungen werden wir I hn en, Herr Kommissar, mit unserer Entschließung mit geb en, aber auf einen T ei la sp ekt will ich jetzt schon einmal eing ehen : Transparenz und Rech en schaft sp f lich t gehör en zusammen
I do not wish to call the dist rib ution of compe ten ces between the Commission and Parliament into question ||| Ich will nicht an der Kom p e ten z ver teilung zwischen Kommission und Parlament r ü t tel n
The Commission is the ex ec u tive and Parliament o u ght to have no des ire what so ever to take on this role , for the s ake of its own independ ence ; but Parliament is a superv is ory bod y, and what better for um could there be in which to exp ound the reason ing behind one ' s decisions than a democratic ally - e lect ed Parliament, indeed an on go ing parliament ary discussion ? ||| Die Kommission ist die E x eku tiv e, und das Parlament sollte das um seiner eigenen Un abhäng igkeit will en auch gar nicht sein wollen, aber das Parlament ist Kon troll or gan , und wo kann man seine Gründ e für Entscheidungen besser dar legen als im demokrati sch ge wä hl ten Parlament und eben in einem st änd igen p ar la ment ar ischen Disk urs ?
H ere too we should continue al ong the p ath we have ch os en, strengthen ing and int en si f ying it ||| Auch hier sollten wir auf dem einge schlagen en Weg fort fahr en, ihn ver ste tigen und i nten si v ieren
There is one thing I would like to make quite clear though . Parliament is a legislative bod y, but the fact that we have no more than the right of consult ation in matters of competition law , of all thing s, is t ru ly sc and al ous ||| Ein es will ich aber ganz deutlich sagen : Das Parlament ist Gesetz ge ber ; daß wir aber gerade beim Wettbewerbs recht nur Kon s ult ation s rechte haben, das ist eigentlich ein S k and al !
Therefore , I would urge the Council and the Intergovernmental Conference to introdu ce the cod ec ision procedure into legislation in this area ||| Hier geht die Forder ung an Rat und Regierungskonferenz , das Mit entscheid ungs verfahren beim Wettbewerbs recht einzu führ en
I expect the Commission to exp lo it every available opportunity for parliament ary cooperation and to involve Parliament in doubt ful cas es, even given the Treaty stat us qu o ||| V on der Kommission erwar te ich, daß alle Möglichkeiten der p ar la ment ar ischen Mit wirk ung bis in die letz te Kon se qu enz aus gen utz t werden, im Zwei fel für die Beteil igung des Parlament s, und das auch schon bei der j etz igen Vertrags lage
I also expect the Commission to be pro - ac tive in supp or ting us in our call for cod ec ision in legislative proced ures ||| Ich erwar te auch , daß die Kommission uns bei der Forder ung nach Mit entscheid ung im Gesetz geb ungs verfahren offen si v unterstützen wird
This will be a good t est as to whether there is reason able cooperation between the two institutions ||| Das wird ein T est fall für die vern ünf tige Zusammenarbeit bei der Institutionen sein
With all due respect for the principle of competition , competition is not, however, an end in itself ||| Bei allem Be ken nt nis zum Wettbewerb sp rinzip ist Wettbewerb jedoch kein Ziel an sich
C om pe ti tion is an instrument and does not always produ ce ide al solution s ||| Wettbewerb ist ein Instrument und führ t nicht immer zu o p ti m alen Lös ungen
At the end of the day , one of the fundamental t en et s of economic the ory is that the market is fail ing in many respect s and any one who takes issue with this is nothing more than an ide olog ue ||| Es gehör t nun m al zum ö kon om ischen Grund w iss en, daß der Markt in viel er lei Hin sicht vers ag t, und wer das best rei tet, ist ein Ide ol o ge , s on st gar nichts
C om pe ti tion should bring about bal ance in supp ly and demand and should provide for the op tim um dist rib ution of economic resources and fact s ||| Wettbewerb soll Ang eb ot und Nach frage zum Aus gleich bring en, soll für eine o p ti mal e Ver teilung der ö kon om ischen R ess our cen und F ak ten s orgen
But op tim um efficiency does not necess arily come about of its own accord ||| O p ti mal e Eff izien z stell t sich aber nicht zw ang s lä uf ig von all ein ein
F ra me work conditions are ind is p ens able when it comes to pre ven ting ab us es, mon op o lies law being one example ||| Rahmen beding ungen sind zur Ver h inder ung von Miß b rauch u ner lä ß lich, zum Beispiel durch das K ar te ll recht
But on the whole , this only s er ves to prevent ab us es ; framework conditions al one cannot achieve so cially leg iti m ate go als in is ol ation ||| Aber da durch wird im wesentlichen nur Miß b rauch verh inder t, es t au gt nicht von all ein zum Er reich en ges ellschaft lich leg iti m ier ter Ziele
C om pe ti tion y es, restric tions in state aid where necessary and where possible ||| Wettbewerb ja , Ein schränk ung von Beihil fen, wo n ö tig und wo möglich !
However, since state aid for ms the l ion ' s share of the competition report 1998 I would still like , regard less of Mr J on ck he er ' s report, to say one more thing about it. It is certainly possible , indeed it must be fe a sible for state aid to be given to small and medium -si zed enter p ris es involved in research and development for the purp ose of e du c ating them in regional and environmental policy ||| W eil aber die Beihilfen im Wettbewerbs ber icht 199 8 den wesentlichen Teil ein nehmen, will ich, un be scha d et des Berichts des Kollegen J unk er, doch noch einen S atz dazu sagen : Beihilfen an klein e und mit t l ere Unternehmen in For sch ung und Entwicklung , bei der Aus bild ung in der Regionalpolitik , in der Umwelt politik , das ist sehr wohl möglich und muß auch mach bar sein
Inde ed it must be per m is sible for state aid to be provided for such purp os es, provided it does not lead to unacceptable dist or tion of competition ||| Beihilfen müssen eben für solche Ziele er lau bt sein, so lang e sie nicht zu un ann ehm baren Wettbewerbs ver z err ungen führen
This is precisely the area where it is even more important than it is in mon op o lies and m erg ers law for decisions to be compreh en sible ||| Ger ade hier ist es noch wichtig er als im K ar te ll - und F us ion s rech t, daß Entscheidungen nach voll zieh bar sind
It is not just that we should p ill ory state aid ; rather our approach must be one of draw ing dis tin ctions and we must assess the different ty p es of state aid in accordance with the extent to which they help to achieve the above -m ention ed objectives ||| Beihilfen gehör en eben nicht nur an den P rang er ; sie müssen d iff erenz iert bet rachte t werden, sie müssen auch be wer tet werden nach ihrem Beitrag zur Er reich ung der eben gen annten Ziele
My last comment was intend ed not so much for the Commission as for the Members of the Group of the European Pe ople ' s Party ||| Die letz te Bemerk ung war weniger an die Kommission, sondern viel mehr an die Kolleginnen und Kollegen der E V P -F ra ktion ger ich tet
Mr President, Commissioner, ladies and gentlemen, the report which I have the opportunity to propose to you today is an opinion on the Commission' s An n ual Report on the state aid in force within the European Union and for which the Community is author ised under Artic les 8 7 , 8 8 and 8 9 of the Trea ties ||| Herr Präsident, Herr Kommissar, wer te Kolleginnen und Kollegen! Der Bericht , den ich Ihnen heute vor legen kann, ist eine Stellungnahme zum Jahres ber icht der Kommission über staat liche Beihilfen in der Europäischen Union, die gem äß Artikel 8 7 , 8 8 und 8 9 der Verträge in die Zuständ igkeit der Gemeinschaft f all en
The Commission report is ess enti ally a des c ri p tive report detail ing the development of state aid in the manufact uring sector and certain other sector s, according to various ty p olog ies, such as the m eth od of finan cing and the objectives purs u ed ||| Der Bericht der Kommission t rä gt im wesentlichen des k ri p tiven C ha ra kt er und be sch rei bt die Entwicklung der staatlichen Beihilfen im ver arbeit enden Ge wer be und in einigen weiteren S ekt oren nach verschiedenen T y p olog i en, wie beispielsweise der Art und Weise der Finanz ierung und den Z iels etz ungen
Let me refer you to the expl an atory statement for the qu an tit ative aspect s of the report and simply mention at this point that the ann ual level of state aid , on a ver age , for the period under review , is in the order of EUR 9 5 b illion , cor res pon d ing to a redu ction in the order of 1 3 % in relation to the period 199 3 - 199 5 , a redu ction which is ess enti ally due to a redu ction in aid in the F eder al Rep ublic of German y ||| Was den q u an ti t ativen Asp ekt des Berichts betrifft, möchte ich auf die Beg ründ ung ver weisen und hier lediglich anzu führ en, daß das durch schn it tliche j ähr liche Ges amt v ol umen für den Berichts zeit raum sich in der G röß en ordnung von 9 5 Mill i ar den Euro bew eg t, was einer Ab sen k ung von etw a 1 3 % gegenüber dem Zeitraum 199 3 - 199 5 ent sp richt , die im wesentlichen auf eine Ver ring erung der Beihilfen in der B und es re p u bl ik D eu t sch land zurück zu führ en ist
To put it pl ain ly, the level of state aid dec la red , r ough ly spe aking , is gener ally st able during the period under discussion and comes to appro x im ately 1 . 2 % of Community G D P or more or less the equ i val ent, co in cid ent ally, of the Community budget for one year ||| Im Kl ar te xt bedeutet dies , daß das durch schn it tliche Beihil f enn ive au im Berichts zeit raum im großen und ganz en st ab il ist und bei etw a 1 , 2 % des gemeinschaft lichen B I P lie gt, d. h . zu fä ll iger weise mehr oder weniger dem Haus halt der Gemeinschaft für ein Jahr ent sp richt
This being the case, there are consider able disp ar ities between states , which may be measure d in various way s, such as , for example, as a per c ent age of add ed value and per w age ear ner ||| Die Unter schie de zwischen den Staat en, die sich auf unter schied liche Art und Weise m essen lass en, so beispielsweise in Pro zent der Wer t sch ö pf ung und pro Beschäftig te m , sind allerdings bet räch tlich
I think it is also inter es ting to add state aid and Community aid , which may be as si m il ated in some way into state aid ||| Inter ess ant wäre meiner Meinung nach auch , die staatlichen Beihilfen und die Gemeinschaftsin ter ven tionen zu a d d ieren, die in gew iss er Weise staatlichen Beihilfen gleich gesetzt werden können
This clearly show s that it is the four countries which benefit from the C o hesion Fund , among other thing s, which come at the top of the list ||| D ann zei gt sich ganz deutlich , daß die vier Länder , die unter ander em Mittel aus dem Kohäsion s fonds er halten, an erster Ste lle stehen
This being the case, let me now come to the proposals made in the report ||| Lassen Sie mich nun auf den vor sch lag s be zogen en Teil des Berichts eing ehen
We not e, first of all, that the committee con sid ers the d at a, as presented in the Commission' s ann ual report, to be in too ag g reg ated a form to en able an in - d ep th e val u ation of state aid policy which is sim ult an e ous ly leg iti m ate, sen si tive to national interests and ext ensive in terms of comp li ance with the rules of competition , purs u ant to the act ual terms of the Treaty ||| Zunächst ist fest zu stellen, daß nach Ansicht der Kommission die im Jahres ber icht der Kommission dar ge stell ten D aten zu stark a g g reg iert sind, um eine g ründ liche Be wertung der staatlichen Beihilfen politik zu gest at ten. Dies ist zum einen leg iti m und ein s en si bl er Punkt hinsichtlich der nationalen Inter ess en, zu gleich aber auch von Bedeutung hinsichtlich der Ein hal tung der w ettbewerb s recht lichen Be stimmungen auch gem äß dem Vertrag
The Commission can only co ll ate and analy se the d at a provided by the Member States ||| Die Kommission kann nur die D aten er f assen und an aly s ieren, die ihr seit ens der Mitgliedstaaten über geben werden
It is therefore down to the states and regions to ensure the quality of the d at a provid ed, and our committee con sid ers that addition al efforts must be made in this respect ||| Es ob lie gt also den Staaten und den Region en, für die Qu alität der bereit ge stell ten D aten zu s or gen, und aus der Sicht unser es Ausschusses sind hier für zu sätz liche Anst reng ungen von n ö ten
It is in this spirit that our parliament ary committee for example, has ch amp ion ed the long stand ing idea of a public reg ister of state aid , ac ces sible v ia the Intern et ||| Im gleich en Sinne ver f icht unserer Parlaments ausschuß die bereits a l te Ide e eines öffentlichen Reg ist ers der staatlichen Beihil fen, das vor allem über Inter net zug äng lich sein sollte
Ha ving better , more detail ed information available , particularly with regard to the objectives purs u ed and the results rec ord ed, must make it possible for the European Commission to itself proceed or to comm ission in a reg ular man ner stud ies of the social and economic e val u ation of national and regional state aid policies ||| Die Verfü g bar keit von bess eren und d et a ill iert eren D aten insbesondere zu den ang est re b ten Ziel en und den fest ge stell ten Ergeb nissen würde es der Europäischen Kommission ermöglich en, re gel mäß ig St u d ien zur sozi o ö kon om ischen Be wertung der nationalen und regionalen staatlichen Beihil fe politik en durch zu führ en bzw. durch führ en zu l assen
And in so f ar as such stud ies already exist , to p ub lish more open ly its own comments with regard to the objectives of the Trea ti es, which are not only to ensure the competi tiv ity of the European econom y, but also sustainable development and economic and social cohesion ||| In dem Maß e, wie einige dieser St u d ien bereits ex ist ieren, könnte sie ihre eigenen Komm ent ar e unter dem B l ick w ink el der Z iels etz ungen der Verträge , zu denen n eben der S icher ung der Wettbewerbs fähigkeit der europäischen Wirtschaft auch die nachhal tige Entwicklung und der wirtschaft liche und soziale Zusammen halt gehör en, umfassen der bekannt m ach en
B y stress ing, pri m ar i ly, the quality of the information provid ed, our debate in committee , and h ence the report which it is my hon our to present to you, avoid ed a simp l istic response in the form of an a prior i statement that the level of state aid was , in absolute term s, either too high or not high enough ||| Wir haben bei unserer Aussprache im Ausschuß und auch in dem Bericht , den ich Ihnen vorzu stellen die E hr e habe, die Qu alität der bereit ge stell ten Information in den Vor der grund gestellt und uns j eg licher Verein fach ung ent halten, die darin be stand en hät te, a p ri or i zu beh aup ten, die staatlichen Beihilfen sei en ab sol ut ges ehen ent w eder zu h och oder nicht h och gen ug
M ost committee members have s ought rather to find a bal ance between , on the one hand, the need to see that both states and business es comp ly with the competition rules and, on the other hand, ac know ledge ment of the value of such aid with a view to contrib u ting to the objectives of the Treat y, particular ly, as I have said alread y, as regards sustainable development, research and development and economic and social cohesion ||| Die Ausschuß mitglie der waren mehr heit lich e her b em üh t, zwischen der Notwendigkeit , daß Staaten wie auch Unternehmen die Wettbewerbs re gel n ein halten, auf der einen und der An erk enn ung der Bedeutung derar tig er Beihilfen als Beitrag zu den Ziel en des Vertrag es, vor allem , wie ich bereits sag te, in den Bereichen nachhal tige Entwicklung , For sch ung und Entwicklung und wirtschaft licher und sozi aler Zusammen halt auf der anderen Seite ein Gleich gew icht her zu stellen
This being the case, various amendments to the rapporteur ' s initi al draft report were adopted in committee , particularly high li gh ting the need for effective re im b ur se ment of aid found to be i l leg al as well as the establish ment of a le ag ue t able of results ||| Auf dieser Grundlage wurden im Ausschuß mehr ere Änder ungs vorsch lä ge zum u r sp rü ng lichen Entwurf des Berichterstatter s be schloss en. Das Sch wer gew icht l ag dabei auf der Notwendigkeit , die als un recht mäß ig einge schä tz ten Beihilfen tatsächlich zurück zu forder n, sowie eine L ist e der Ergebnisse zu er stellen
S e ven amendments have been ret abled for this pl en ary sitting ||| Sie ben Änder ungs vorsch lä ge werden dieser Plen ar sitz ung noch einmal vor gelegt
M ost of them are an exp ression of the political differ ences among ourselves regarding the appropri at en ess and effec tiveness of state aid , in view of the in ade qu a ci es, ac know led ged or not, of priv ate invest ment al one , the market fail ures or in ade qu a ci es of the market ||| Sie w idersp ie gel n zum eist unsere unter schied lichen politischen Auff ass ungen zur Zw eck mäß igkeit und Eff ek tiv ität der staatlichen Beihilfen angesichts der Un zu lä ng lichkeit en der Pri v at in ve sti tion en, der m ark et f a il ur es oder Markt lück en
There is in particular one amendment , let me point out , concerning the energy sector , which, in my cap ac ity as rapporteur, I see as particularly important ||| Ich möchte beton en, daß mir als Berichterstatter vor allem ein Änder ungs vorsch lag zur Energie politik als besonders wichtig er schei nt
I should like to conclud e this present ation, Commissioner, by stress ing two things : first ly, a concern of the members of the committee and, second ly, a demand of our committee ||| Lassen Sie mich ab schließend einer s eits auf eine S or ge der Ausschuß mitglie der und ander erseits auf eine Forder ung unser es Ausschusses ver weisen, Herr Kommissar
The concern invol ves the pre - ac ces sion process for the countries of C entral and East ern Europe, in terms of competition policy and state aid ||| Die S or ge betrifft den Her an führ ungs pro zeß der mit tel - und o ste uropäischen Länder aus der Sicht der Wettbewerbspolitik und der staatlichen Beihilfen
This is u nd ou b ted ly a comple x issue , and one where we should like to see the Commission inform ing us of the l ates t development in the matter , particularly in terms of the cap ac ity of the econom ies involved in the ac ces sion process to comp ly with competition rules and, as far as state aid is concerned, the need , in all prob ability , to have specific rules on state aid used to assist rest ruct uring of their sect ors ||| Wir haben es da zwei f ell os mit einer k omp lex en Frage zu tun und wür den wün sch en, daß die Kommission uns über den a kt u ellen Stand unter r ichte t, vor allem hinsichtlich der Fä h igkeit der Wir t schaften der Beit rit ts länder , die Wettbewerbs re gel n einzu halten, sowie , was die staatlichen Beihilfen betrifft, hinsichtlich der Notwendigkeit , daß wahr schein lich spezie lle Regel n für staat liche Beihilfen zur Unterstützung der Um struktur ierung der je weil igen S ekt oren ge scha ffen werden müssen
And fin ally, in conclusion , our demand regarding the future respon sib ili ties of the European Parliament in the matters we are discuss ing, competition policy and state aid , in the context of the Intergovernmental Conference ||| Die Forder ung schließlich betrifft die k ünf tigen Kom p e ten zen des Europäischen Parlaments in den hier zur Debatte steh enden Bereichen Wettbewerbspolitik und staat liche Beihilfen mit B l ick auf die Regierungskonferenz
As you know , Commissioner, our report ar g ues that the cod ec ision procedure should apply in the case of basic legislation on state aid ||| In unserem Bericht wird, wie Ihnen bekannt ist, Herr Kommissar, die Ide e vert ret en, daß für die Ver ab schied ung von grund sätz lichen Recht ste x ten zu staatlichen Beihilfen das Mit entscheid ungs verfahren gel ten sollte
Mr President, Commissioner, my contribution to today ' s debate concerns the steel aid cod e, that is the state aid in Europe grant ed in accordance with this cod e and which was assess ed by the Commission ||| Mein Teil in der heu tigen Debatte betrifft den Stahl bei hil f ek o de x . Das sind die öffentlichen Hil fen in Europa , die nach diesem Ko de x ver geben wurden und die die Kommission ge p rü ft hat
There were a total of 2 7 cases in 1998 and the Commission sub mitted its own report on these ||| Das sind ins ges amt 2 7 Fä lle im Jahre 199 8 . Über diese Fä lle hat die Kommission einen eigenen Bericht abge geben
The E C S C Treaty is due to exp ire short ly ||| Der E G K S - V ert rag wird in K ür ze aus lau fen
H ence, what we must focus on today is the question as to how state aid is to be man aged in future ||| Deshalb ist die Frage, die uns heute be schä f tigen muß, insbesondere die , wie künftig die Stahl bei hil fen geh and hab t werden
The European Commission' s decision s, which fe at ure in the report, are wel com ed by the European Parliament, as is the decision to ask for the money back in specific cas es, th us apply ing Article 8 8 of the E C S C Treaty ||| Die Entscheidungen der Europäischen Kommission, die in dem Bericht dar gelegt werden, werden vom Europäischen Parlament begrüß t, ein schließlich der Entscheid ung, Mittel in einem konkreten Fall zurück zu forder n und damit den Artikel 8 8 des E G K S - V ert rag s anzu w enden
The competi tiveness of the European steel industry also for ms the subject of the Commission' s most recent communic ation, which we have not yet deb ated in Parliament ||| Die Wettbewerbs fähigkeit der europäischen Stahl industrie ist gleichzeitig auch In halt der j ü ng sten Mitteilung der Kommission, über die wir im Parlament noch nicht ber aten haben
As in other sector s, the general ban on state aid according to Article 8 7 ( 1 ) of the E C Treaty also appli es to the i ron and steel industry ||| Wie in anderen Bereichen auch gilt für die E isen - und Stahl industrie das gen er elle Beihil fe verb ot nach Artikel 8 7 Ab satz 1 des E G - V ert rag s
A cc ord ing to this ar tic le , state aid is ir re con ci la ble with the common market , in principle ||| Nach diesem Artikel sind staat liche Beihilfen grund sätz lich mit dem gemeinsamen Markt un ver ein bar
E x emp tions are only per mitted in precisely def ined cases ||| Aus nah men sind nur in genau de f in ierten Fä llen er lau bt
U nder Article 8 8 , the Commission is oblig ed to superv ise state aid ||| G em äß Artikel 8 8 ist die Kommission zur Kontrolle staat licher Beihilfen ver pflich tet
