We do not believe that we should cherry-pick . ||| Wir glauben nicht , daß wir nur Rosinen herauspicken sollten .
At the same time they call for the existence of an independent body to coordinate and monitor the thoroughness of investigations by OLAF, without harming the administration of justice by each Member State and under the supervision of the European Court of Justice. ||| Gleichzeitig sprechen sie für einen unabhängigen europäischen Organismus, der die ordnungsgemäße Untersuchungstätigkeit des OLAF koordiniert und kontrolliert, ohne die Justizverwaltung durch jeden einzelnen Mitgliedstaat und im Verbund damit die Überwachung durch den Gerichtshof der Gemeinschaften zu beeinträchtigen.
Finally, following on from what was agreed in Tampere, the report restates the need for a European Public Prosecutor. This issue has been brought once again to the fore by Commissioner Vitorino' s timely decision to ask the IGC to include in its agenda the creation of this new role, which everyone considers vital. ||| Ausgehend von den in Tampere getroffenen Vereinbarungen befürwortet der Bericht schließlich erneut die Institution des Europäischen Staatsanwalts, die durch die Entscheidung des Herrn Kommissars António Vitorino zum richtigen Zeitpunkt ins Rampenlicht gerückt ist, und er ersucht die Regierungskonferenz, die Einführung dieser neuen Institution, die heute von allen als unabdingbar angesehen wird, auf ihre Tagesordnung zu setzen.
We should approve this report because it highlights the need to maintain efficient legal control over our institutions, by protecting the Union' s financial system with a substantive and procedural European law which is capable of maintaining the credibility of the Community' s economic life. ||| Der vorliegende Bericht verdient unsere Zustimmung, denn er hält an der Notwendigkeit fest, das Leben der Institutionen rechtlich und effizient zu disziplinieren, indem er das Finanzsystem der Union mit einem europäischen materiell-rechtlichen Strafprozeßrecht abschließt, das der Glaubwürdigkeit des Wirtschaftslebens der Gemeinschaft angemessen ist.
Nevertheless, it raises some very basic questions. ||| Allerdings ergeben sich einige ganz einfache Fragen.
Is there currently a sufficient legal basis for justifying, in legal terms, the creation of a specifically Community-wide criminal law which, although it might be called subsidiary, will always clash with the practice, and in certain areas, with the traditional, separate criminal law of the Member States? ||| Gibt es derzeit eine ausreichende Rechtsgrundlage, mit der sich die Einführung eines neuen, spezifisch gemeinschaftlichen Strafrechts rechtlich begründen läßt, das, auch wenn man es subsidiär nennen kann, in der Praxis und in bestimmten Bereichen stets mit dem traditionellen und besonderen Strafrecht der Mitgliedstaaten kollidieren wird?
As there are doubts, would it not be more advisable, from a political point of view, to put the reform of the legal system on the IGC agenda, and incorporate these proposals into the more general reform of the Union' s legal system along the lines of what is being requested for the European Public Prosecutor? ||| Wäre es im Zweifelsfall nicht politisch korrekter, die Reformierung des Rechtssystems auf die Agenda der Regierungskonferenz zu setzen, wie man dies bereits für die Institution des Europäischen Staatsanwalts beantragt hat, und diese Vorschläge in die allgemeinere Reformierung des Rechtssystems der Union einzubeziehen?
Surely these subjects will be of the greatest relevance to a revision of the treaties which will contribute to the stability of the area of freedom, security and justice? ||| Sind diese Themen nicht von größtem Interesse bei einer künftigen Revision der Verträge, die dazu beitragen soll, den Raum der Freiheit, der Sicherheit und des Rechts in der Union zu sichern?
Mr President, the EU is now exposed to tough scrutiny. ||| Herr Präsident! Die EU steht zur Zeit auf dem Prüfstand.
Confidence in the European Union has been seriously damaged. To remedy this, vigorous efforts are required. ||| Das Vertrauen in die Union ist ernsthaft beschädigt, und es bedarf großer Anstrengungen, um das zu ändern.
We therefore welcome increased resources for OLAF so that we can investigate any suspicions more efficiently. ||| Deshalb begrüßen wir die Bereitstellung zusätzlicher Mittel für OLAF, damit jeder Verdacht noch effektiver aufgeklärt werden kann.
At the same time, we think it is obvious that those who commit crimes against the EU must be able to be held accountable in an effective way. ||| Gleichzeitig betrachten wir es als selbstverständlich, daß diejenigen, die sich gegenüber der EU etwas zuschulden kommen lassen, auch wirksam zur Verantwortung gezogen werden können.
It is unfortunate that the convention for protecting the Union' s financial interests has been put into effect in so few Member States. ||| Leider ist das Übereinkommen zum Schutz der finanziellen Interessen der Union nur in wenigen Mitgliedstaaten umgesetzt worden.
We therefore think it only right that the Commission should have the task of tabling proposals entailing the further development of the already existing legal framework. ||| Daher halten wir es für opportun, daß die Kommission beauftragt wird, einen Vorschlag zur Weiterentwicklung des vorhandenen Rechtsrahmens zu erarbeiten.
On the other hand, I am not convinced that making the process more efficient in this way requires common European legislation or centralisation of the fight against crime. ||| Dagegen bin ich nicht davon überzeugt, daß eine solche höhere Effektivität eine einheitliche europäische Gesetzgebung oder eine Zentralisierung der Strafverfolgung erforderlich macht.
In the present situation, I am therefore sceptical about the idea of a European prosecutor, which it is scarcely possible to implement within the framework of the present treaty. ||| Zum gegenwärtigen Zeitpunkt stehe ich deshalb der Idee einer Europäischen Staatsanwaltschaft skeptisch gegenüber, abgesehen davon, daß sie im Rahmen des gegenwärtigen Vertrags kaum durchführbar ist.
We have more confidence in Eurojust, where prosecutors from the individual nations cooperate. ||| Wir setzen eher auf Eurojust, d. h. auf die Zusammenarbeit der nationalen Staatsanwaltschaften.
The major problem is not that no measures are being taken against crimes committed against the Union but, rather, that these are committed so often and far too seldom discovered. ||| Das große Problem ist nicht, daß Straftaten gegen die Union nicht verfolgt werden, sondern, daß sie so oft begangen und viel zu selten aufgedeckt werden.
The challenge for the Commission and for ourselves is, however, to find the right mix. ||| Die Herausforderung für die Kommission und für uns besteht jedoch darin, die richtige Mischung zu finden.
The mismanagement and examples of fraud which occur ought not to lead to our ending up in an old-fashioned hierarchical bureaucracy which, through an exaggerated supervision of detail, prevents the development of a modern administration. ||| Das Vorhandensein von Betrug und Mißwirtschaft darf nicht dazu führen, daß wir in einer altertümlich hierarchischen Bürokratie steckenbleiben und Detailkontrolle die Entwicklung einer modernen Verwaltung verhindert.
We therefore welcome the aggressive approach of Mr van Hulten' s report. ||| Deshalb begrüßen wir die offensive Haltung, die im Bericht van Hulten zum Ausdruck kommt.
The main idea ought to be that each administration takes responsibility for its own supervision. ||| Es sollte von dem Grundsatz ausgegangen werden, daß jede Verwaltung für ihre eigene Kontrolle verantwortlich ist.
Our experience of modern administration tells us that openness, decentralisation of responsibility and qualified evaluation are often as effective as detailed bureaucratic supervision. ||| Unsere Erfahrungen mit moderner Verwaltung besagen, daß Transparenz, Dezentralisation der Verantwortlichkeiten und eine qualifizierte Auswertung oft ebenso effektiv sind wie bürokratische Detailkontrolle.
The major challenge is, therefore, to create a modern and efficient administration without compromising on supervision and the rule of law. ||| Die große Aufgabe besteht somit darin, eine moderne und effektive Verwaltung zu schaffen, ohne an Rechtssicherheit und Kontrolle Abstriche zu machen.
This requires staff training, more modern recruitment methods and, above all, openness and public control. ||| Das erfordert eine Weiterbildung des Personals, modernere Einstellungsmethoden und vor allem Offenheit und Transparenz.
Being able to scrutinise the administration effectively is the best protection against irregularities. ||| Eine effektive Kontrolle der Verwaltung ist der beste Schutz vor Unregelmäßigkeiten.
Mr President, rapporteur, restoring the confidence of the citizens in the work of the European institutions and in European politics is one of the most important tasks we have before us. ||| Herr Präsident, Frau Berichterstatterin, sehr geehrte Abgeordnete! Neues Vertrauen der Bürgerinnen und Bürger in die Arbeit der Europäischen Institutionen, neues Vertrauen in die europäische Politik zu gewinnen, ist eine der wichtigsten Aufgaben, vor der wir stehen.
The Commission has given its commitment to this task and the draft for the overall package of internal reforms documents this. ||| Die Kommission hat sich dieser Aufgabe verpflichtet, und der Entwurf für das gesamte Paket der inneren Reformen dokumentiert dies.
Parliament is committed to this task, which is something this report bears impressive witness to. ||| Das Parlament hat sich dieser Aufgabe verpflichtet, wofür der vorliegende Bericht einen eindrucksvollen Beweis darstellt.
On behalf of the Commission I am able to congratulate the rapporteur on having again addressed the genuinely difficult question as to what we can do, in terms of creating legal bases and effecting institutional change, to step up the fight against fraud perpetrated against the European Union. ||| Ich darf der Berichterstatterin die Anerkennung der Kommission dafür aussprechen, daß sie sich erneut der wirklich schwierigen Frage gewidmet hat, welche rechtlichen Grundlagen, welche institutionellen Veränderungen geschaffen werden können, um die Bekämpfung von Betrug zu Lasten der Europäischen Union zu intensivieren.
On ratifying the Amsterdam Treaty, all Member States stated that they wanted to accord combating fraud against the financial interests of the European Union the same priority as combating fraud to their own detriment. Yet as things stand, only the first four Member States have ratified the agreement concluded in 1995. ||| Alle Mitgliedstaaten haben mit der Ratifizierung des Amsterdamer Vertrags bekundet, daß sie der Bekämpfung von Betrug gegen die finanziellen Interessen der Europäischen Union die gleiche Priorität einräumen wollen wie der Bekämpfung von Betrug zu ihren eigenen Lasten, doch die Realität ist die, daß immer noch erst die ersten vier Mitgliedstaaten das 1995 beschlossene Abkommen ratifiziert haben.
The Commission wholeheartedly agrees with the rapporteur that this is an unacceptable situation ||| Die Kommission stimmt der Berichterstatterin voll zu, daß diese Situation nicht akzeptabel ist.
A legislative act, a directive, in which there is a standardised definition for the different types of fraud such as money-laundering or corruptibility, and in which the obligation to launch criminal proceedings is enshrined as a binding objective, may enable us to take a major step forwards, and I will therefore advise the Commission to examine this step with all due haste. ||| Ein Rechtsakt, eine Richtlinie, in der die Betrugstatbestände, beispielsweise Geldwäsche oder Bestechlichkeit, einheitlich definiert und deren Strafverfolgungsverpflichtung verbindlich als Ziel festgeschrieben wird, kann hier einen wichtigen Schritt weiterbringen, und ich werde deshalb der Kommission vorschlagen, diesen Schritt sehr zügig zu prüfen.
OLAF, the European anti-fraud office is one of the most important instruments the Commission has for fulfilling its obligation to combat fraud. ||| Das europäische Amt für Betrugsbekämpfung OLAF ist eines der wichtigsten Instrumente, mit denen die Kommission ihrer Verpflichtung zur Bekämpfung von Betrug nachkommt.
Accordingly, the Commission refused to put up with the fact that both European banks, the ECB and the EIB, contested the right of OLAF to include these two institutions in its investigations, citing their independent status. ||| Die Kommission hat es deshalb nicht hingenommen, daß die beiden europäischen Banken EZB und EIB das Recht von OLAF auf Untersuchungen auch in diesen beiden Institutionen mit dem Verweis auf ihre unabhängige Stellung abgestritten haben.
This is why the Commission resolved on raising a complaint against these two banks at its last meeting, and I hope that Parliament approves this step. ||| Die Kommission hat deshalb in ihrer letzten Sitzung die Klageerhebung gegen diese beiden Banken beschlossen, und ich hoffe, daß das Parlament diesen Schritt gutheißt.
The second recommendation in this report relates to assessing the legitimacy of the investigative measures undertaken by OLAF in the various European institutions. ||| Die zweite Empfehlung des vorliegenden Berichts betrifft die Überprüfung der Untersuchungsmaßnahmen von OLAF in den verschiedenen europäischen Institutionen auf ihre Rechtmäßigkeit.
It is the task of the monitoring committee for OLAF, which was set up at the same time as OLAF, to safeguard the independence of OLAF, however it cannot undertake the action mentioned in the report of monitoring internal investigative activities conducted by OLAF. ||| Der Überwachungsausschuß für OLAF, der zugleich mit der Errichtung von OLAF eingerichtet wurde, hat die Aufgabe, die Unabhängigkeit von OLAF sicherzustellen, kann aber nicht die im Bericht genannte Tätigkeit einer Kontrolle von internen Ermittlungshandlungen von OLAF ausüben.
I am fully in agreement with the monitoring committee and the rapporteur on this point. ||| Darin stimme ich mit dem Überwachungsausschuß und mit der Berichterstatterin völlig überein.
In other words, there is a loophole here which must be filled and I will examine the solution advocated in the report in the interests of moving things on. ||| Das heißt, es besteht hier eine Lücke, die auszufüllen ist, und ich werde hinsichtlich einer Weiterentwicklung den im Bericht vorgeschlagenen Weg prüfen.
There is one thing I would ask though: I believe we must prevent the debate on extending the legal basis for OLAF from leading to the misconception that OLAF does not now have enough authority. ||| Ich darf allerdings um eines bitten: Ich denke, es muß verhindert werden, daß die Debatte über eine Erweiterung der Rechtsgrundlage für OLAF zu dem Mißverständnis führt, daß OLAF jetzt nicht genügend Autorität hätte.
No, there must be no undermining of OLAF' s authority, and neither do I think this was the rapporteur' s intention. ||| Nein, es darf nicht zu einer Untergrabung der Autorität von OLAF führen, und ich denke auch, daß dies nicht im Sinne der Berichterstatterin ist.
As such, I would ask you to give OLAF' s work your full support, also in its present form. ||| Insofern bitte ich Sie, auch in der jetzigen Form die Arbeit von OLAF voll zu unterstützen.
Thank you, Commissioner Schreyer. ||| Vielen Dank, Frau Kommissarin Schreyer.
The vote will take place tomorrow at 12 p.m. ||| Die Abstimmung findet morgen um 12.00 Uhr statt.
VOTE ||| Abstimmungen
(Parliament approved the Commission proposal) ||| (Das Parlament nimmt den Vorschlag der Kommission an.)
Heaton-Harris (PPE-DE). ||| Heaton-Harris (PPE-DE).
Mr President, on a point of order I should like to ask you for clarification of the Rules of Procedure: namely Rules 133(2) and 138(4). ||| (EN) Herr Präsident, eine Bemerkung zur Anwendung der Geschäftsordnung. Ich bitte um eine Erläuterung zu Artikel 133 Absatz 2 und 138 Absatz 4 der Geschäftsordnung.
These are both about voting. ||| Beide Artikel betreffen die Abstimmung.
Is it not the case that on votes other than roll-call votes, the vote should take place initially by show of hands and only then, if there is some doubt, should we utilise the electronic voting system? ||| Ist es nicht so, daß bei Abstimmungen mit Ausnahme von namentlichen Abstimmungen zunächst per Handzeichen abgestimmt wird und nur im Zweifelsfalle zur elektronischen Abstimmungsanlage gegriffen werden soll?
That is quite right, Mr Heaton-Harris. I put the matter to a vote by a show of hands because none of the groups had requested voting by roll call. ||| Ja, werter Herr Kollege, ich habe mit Handzeichen abstimmen lassen, da keine Fraktion eine namentliche Abstimmung gefordert hatte.
You know that voting by roll call or electronic checking only takes place if Members of the House request it. ||| Wie Sie wissen, ist eine namentliche Abstimmung oder eine elektronische Überprüfung nur vorgesehen, wenn die Abgeordneten dies verlangen.
In this particular case, I can assure you there was a large majority in favour of the directive which we have just voted on. ||| Im vorliegenden Falle kann ich Ihnen versichern, daß eine überwältigende Mehrheit für die Richtlinie gestimmt hat, über die wir soeben abgestimmt haben.
Mr President, I was not referring to that particular vote but to votes in general. ||| Herr Präsident, ich meinte nicht diese spezielle Abstimmung, sondern Abstimmungen im allgemeinen.
It is obvious that some presidents do not look at the hands, so to speak, but go straight to the electronic voting system. ||| Es ist offensichtlich, daß einige Präsidenten dem Handzeichen keine Beachtung schenken, sondern sich sofort der elektronischen Abstimmungsanlage zuwenden.
I was wondering whether this is the correct procedure. ||| Ich frage mich, ob dies die korrekte Vorgehensweise ist.
I know it takes longer, but should we not always have a show of hands first? ||| Ich weiß, daß es länger dauert, aber sollten wir nicht in jedem Falle zunächst per Handzeichen abstimmen?
I shall, I assure you, Mr Heaton-Harris, pay particular attention to the show of hands. ||| Ich versichere Ihnen, werter Herr Kollege, daß ich sehr genau darauf achten werde, wie viele Hände in die Höhe gehen.
I hope to see many hands raised when the time comes to vote. ||| Ich hoffe, daß dies zum Zeitpunkt der Abstimmung viele sind.
Proposal for a European Parliament and Council directive on the approximation of the laws of the Member States relating to the labelling, presentation and advertising of foodstuffs (codified version) (COM(1999)0113 - C4-0212/1999 - 1999/0090(COD)) (Committee on Legal Affairs and the Internal Market) ||| Vorschlag für eine Richtlinie des Europäischen Parlaments und des Rates zur Angleichung der Rechtsvorschriften der Mitgliedstaaten über die Etikettierung und Aufmachung von Lebensmitteln sowie die Werbung hierfür (kodifizierte Fassung) (KOM(1999)0113 - C4-0212/1999 - 1999/0090(COD)) (Ausschuß für Recht und Binnenmarkt)
(Parliament approved the Commission proposal) ||| (Das Parlament nimmt den Vorschlag der Kommission an.)
- Proposal for a Council regulation (EC, Euratom) implementing Decision 94/728/EC, Euratom on the system of the Communities' own resources (codified version) (COM(97)0652 - C4-0018/98 - 1997/0352(CNS)) (Committee on Legal Affairs and the Internal Market) ||| Vorschlag für eine Verordnung (EG, Euratom) des Rates zur Durchführung des Beschlusses 94/728/EG, Euratom über das System der Eigenmittel der Gemeinschaften (kodifizierte Fassung) (KOM(1997)0652 - C4-0018/98 - 1997/0352(CNS)) (Ausschuß für Recht und Binnenmarkt)
(Parliament approved the Commission proposal) ||| (Das Parlament nimmt den Vorschlag der Kommission an.)
Procedure without debate: ||| Verfahren ohne Aussprache:
Report (A5-0106/1999) by Mr Varela Suanzes-Carpegna, on behalf of the Committee on Fisheries, on the proposal for a Council regulation on the conclusion of the protocol setting out for the period 1 June 1999 to 31 May 2002 the fishing opportunities and the financial contribution provided for in the Agreement between the European Community and the Government of the Democratic Republic of São Tomé e Principe on fishing off the coast of São Tomé e Principe (COM(1999)0550 - C5-0305/1999 - 1999/0228(CNS)) ||| Bericht (A5-0106/1999) von Herrn Varela Suanzes-Carpegna im Namen des Ausschusses für Fischerei über den Vorschlag für eine Verordnung des Rates über den Abschluß des Protokolls zur Festlegung der Fangmöglichkeiten und der finanziellen Gegenleistung nach dem Abkommen zwischen der Europäischen Gemeinschaft und der Regierung der Demokratischen Republik São Tomé und Príncipe über die Fischerei vor der Küste von São Tomé für die Zeit vom 1. Juni 1999 bis zum 31. Mai 2002 (KOM(1999)0550 - C5-0305/1999 - 1999/0228(CNS))
(Parliament approved the legislative resolution) ||| (Das Parlament nimmt den Entwurf der legislativen Entschließung an.)
Recommendation for second reading (A5-0105/1999), on behalf of the Committee on Regional Policy, Transport and Tourism, on the common position adopted by the Council with a view to adopting a European Parliament and Council directive on the harmonisation of examination requirements for safety advisers for the transport of dangerous goods by road, rail or inland waterways (C5-0208/1999 - 1998/0106(COD)) (Rapporteur: Mr Koch) ||| Empfehlung für die zweite Lesung (A5-0105/1999) im Namen des Ausschusses für Regionalpolitik, Verkehr und Fremdenverkehr betreffend den Gemeinsamen Standpunkt des Rates (C5-0208/1999 - 1998/0106(COD)) im Hinblick auf den Erlaß der Richtlinie des Europäischen Parlaments und des Rates über die Mindestanforderungen für die Prüfung der Sicherheitsberater für die Beförderung gefährlicher Güter auf Straße, Schiene oder Binnenwasserstraßen (Berichterstatter: Herr M. Koch)
Mr President, as far as the second reading is concerned, the Commission can only accept one proposed amendment put forward by Parliament. ||| Herr Präsident, meine Damen und Herren! Bezüglich der zweiten Lesung kann die Kommission nur einen Änderungsantrag, der vom Parlament vorgeschlagen wird, akzeptieren.
The Commission hereby adopts this amendment and accepts it. ||| Diesen Antrag nimmt die Kommission auf und akzeptiert ihn.
(The President declared the common position approved (as amended)) ||| (Der Präsident erklärt den geänderten Gemeinsamen Standpunkt für gebilligt.)
Report (A5-0104/1999) by Mr Koch, on behalf of the Committee on Regional Policy, Transport and Tourism, on the proposal for a European Parliament and Council directive amending Directive 94/55/EC on the approximation of the laws of the Member States with regard to the transport of dangerous goods by road (COM(1999)0158 - C5-0004/1999 - 1999/0083(COD)) ||| Bericht (A5-0104/1999) von Herrn Koch im Namen des Ausschusses für Regionalpolitik, Verkehr und Fremdenverkehr über den Vorschlag für eine Richtlinie des Europäischen Parlaments und des Rates zur Änderung der Richtlinie 94/55/EG zur Angleichung der Rechtsvorschriften der Mitgliedstaaten für den Gefahrguttransport auf der Straße (KOM(1999)0158 - C5-0004/1999 - 1999/0083(COD))
(Parliament adopted the legislative resolution) ||| (Das Parlament nimmt den Entwurf der legislativen Entschließung an.)
Report (A5-0108/1999) by Mrs Schroedter, on behalf of the Committee on Regional Policy, Transport and Tourism, on the communication from the Commission in the field of the Structural Funds and their coordination with the Cohesion Fund: guidelines for programmes in the period 2000-2006 (COM(1999)0344 - C5-0122/1999 - 1999/2127(COS)) ||| Bericht (A5-0108/1999) von Frau Schroedter im Namen des Ausschusses für Regionalpolitik, Verkehr und Fremdenverkehr über die Mitteilung der Kommission: Die Strukturfonds und ihre Koordinierung mit dem Kohäsionsfonds - Leitlinien für die Programme des Zeitraums 2000-2006 (KOM(1999)0344 - C5-0122/1999 - 1999/2127(COS))
(Parliament adopted the resolution) ||| (Das Parlament nimmt den Entschließungsantrag an.)
Report (A5-0107/1999) by Mr Berend, on behalf of the Committee on Regional Policy, Transport and Tourism, on the Sixth Periodic Report on the Social and Economic Situation and Development of the Regions of the European Union (SEC(1999)0066 - C5-0120/1999 - 1999/2123(COS)) ||| Bericht (A5-0107/1999) von Herrn Berend im Namen des Ausschusses für Regionalpolitik, Verkehr und Fremdenverkehr über den Sechsten Periodischen Bericht über die sozio-ökonomische Lage und Entwicklung der Regionen der Europäischen Union (SEK(1999)0066 - C5-0120/1999 - 1999/2123(COS))
(Parliament adopted the resolution) ||| (Das Parlament nimmt den Entschließungsantrag an.)
Report (A5-0069/1999) by Mr von Wogau, on behalf of the Committee on Economic and Monetary Affairs, on the Commission White Paper on modernisation of the rules implementing Articles 85 and 86 of the EC Treaty (COM(1999)0101 - C5-0105/1999 - 1999/2108(COS)) ||| Bericht (A5-0069/1999) von Herrn von Wogau im Namen des Ausschusses für Wirtschaft und Währung über das Weißbuch der Kommission über die Modernisierung der Vorschriften zur Anwendung der Artikel 85 und 86 des EG-Vertrags (KOM(1999)0101 - C5-0105/1999 - 1999/2108(COS))
(Parliament adopted the resolution) ||| (Das Parlament nimmt den Entschließungsantrag an.)
Report (A5-0078/1999) by Mr Rapkay, on behalf of the Committee on Economic and Monetary Affairs, on the European Commission' s XXVIIIth Report on Competition Policy (1998) (SEC(1999)0743 - C5-0121/1999 - 1999/2124(COS)) ||| Bericht (A5-0078/1999) von Herrn Rapkay im Namen des Ausschusses für Wirtschaft und Währung über den XXVIII. Bericht der Kommission über die Wettbewerbspolitik 1998 (SEK(1999)0743 - C5-0121/1999 - 1999/2124(COS))
(Parliament adopted the resolution) ||| (Das Parlament nimmt den Entschließungsantrag an.)
Report (A5-0087/1999) by Mr Jonckheer, on behalf of the Committee on Economic and Monetary Affairs, on the seventh survey on state aid in the European Union in the manufacturing and certain other sectors (COM(1999)148 - C5-0107/1999 - 1999/2110(COS)) ||| Bericht (A5-0087/1999) von Herrn Jonckheer im Namen des Ausschusses für Wirtschaft und Währung über den Siebenten Bericht der Kommission über staatliche Beihilfen in der Europäischen Union im verarbeitenden Gewerbe und in einigen weiteren Sektoren (KOM(1999)148 - C5-0107/1999 - 1999/2110(COS))
(Parliament adopted the resolution) ||| (Das Parlament nimmt den Entschließungsantrag an.)
Report (A5-0073/1999) by Mr Langen, on behalf of the Committee on Economic and Monetary Affairs, on the Commission Report on the implementation in 1998 of Commission Decision No 2496/96/ECSC of 18 December 1996 establishing Community rules for State aid to the steel industry (Steel Aid Code) (COM(1999)94 - C5-0104/1999 - 1999/2107(COS)) ||| Bericht (A5-0073/1999) von Herrn Langen im Namen des Ausschusses für Wirtschaft und Währung über den Bericht der Kommission über die Anwendung ihrer Entscheidung Nr. 2496/96/EGKS vom 18. Dezember 1996 zur Einführung gemeinschaftlicher Vorschriften über Beihilfen an die Eisen- und Stahlindustrie (Stahlbeihilfenkodex) im Jahre 1998 (KOM(1999)94 - C5-0104/1999 - 1999/2107(COS))
(Parliament adopted the resolution) ||| (Das Parlament nimmt den Entschließungsantrag an.)
EXPLANATIONS OF VOTE- Own resources ||| Erklärungen zur Abstimmung- System der Eigenmittel
. ||| .
(FR) The European Union is apparently financed through four own resources. ||| (FR) Die Europäische Union finanziert sich bekanntlich aus vier Einnahmequellen.
The European budget is effectively sourced from VAT and on the basis of GDP, especially now that the Community preference system has been abandoned and the multiplication of free trade areas has put paid to customs duties and the common agricultural levy, which had already been cut back drastically by the Generalised System of Preferences. ||| Der europäische Haushalt wird aus der Mehrwertsteuer und dem BIP­Anteil gespeist, vor allem seit mit dem Wegfall der Gemeinschaftspräferenz und der Zunahme der Freihandelszonen die Zollgebühren und die gemeinschaftliche Agrarabschöpfung weggefallen sind, nachdem sie zuvor bereits durch die APS beschnitten worden waren.
Since then, Community VAT fraud and distortions in the calculation of GDP, the taxable basis for the fourth resource, have had a perceptible effect on the yield and justice of Community resources. ||| Seitdem werden das Aufkommen und die Gerechtigkeit der gemeinschaftlichen Eigenmittel in beträchtlichem Umfang durch MwSt­Betrügereien und Verzerrungen bei der BIP­Berechnung als Besteuerungsgrundlage für die vierte Ressource beeinträchtigt.
Since then, of course, this Europe with pretensions to federalism is now more than ever financed like the commonplace intergovernmental organisation it actually is, but which it refuses to see itself as. ||| Daher finanziert sich das Europa mit seinen föderalen Prätentionen auch mehr denn je wie eine banale zwischenstaatliche Organisation, die sie ja auch ist, aber nicht sein will.
This can be clearly seen in the regulation before us. ||| Dies wird aus der uns vorliegenden Verordnung ganz deutlich.
It shows a concern with the accounting involving own resources, the process of making them available or with the monitoring of declared amounts made available to the Commission. ||| Man macht sich Sorgen um die "Verbuchung der Eigenmittel ", um ihre "Bereitstellung " oder um die "Kontrolle " der der Kommission zur Verfügung gestellten Beträge.
Furthermore, the new Advisory Committee that has been created is made up of representatives of the taxpaying Member States. ||| Im übrigen besteht der neugeschaffene beratende Ausschuß aus Vertretern der beitragspflichtigen Mitgliedstaaten.
This is a long way from offshoots such as the "Community criminal code" , the "European Public Prosecutor" or a European police force, with OLAF. ||| Da ist man weit entfernt von den Auswüchsen, wie es sie zum "gemeinschaftlichen Strafrecht ", zur "gemeinschaftlichen Generalstaatsanwaltschaft " oder zur Gemeinschaftspolizei mit dem OLAF bereits gibt.
There is as yet no federal European tax. ||| Hier gibt es noch keine europäische föderale Steuer.
All the same, a Europe with 25 members will be wanting a European tax on income, if not on profits, or the tax on CO2 to finance the budget for 2025. ||| Allerdings wird das Europa der 25 nach einer europäischen Einkommensteuer verlangen, es sei denn man bevorzugt eine Gewinnsteuer, oder der Haushalt 2025 wird aus der CO2­Besteuerung finanziert.
Koch Report (A5-0105/1999) ||| Bericht Koch (A5-0105/1999)
- (FR) It is with great satisfaction that I welcome this report on improved harmonisation in the training of safety advisers for the transport of dangerous goods. ||| . (FR) Ich bin sehr erfreut über diesen Bericht über eine bessere Harmonisierung bei der Schulung von Sicherheitsberatern für den Gefahrguttransport.
In recent years, the transportation of dangerous goods nationally and internationally has increased considerably, increasing the risk of accidents. ||| Im Laufe der letzten Jahre haben die nationalen und internationalen Gefahrguttransporte beträchtlich zugenommen, wodurch das Unfallrisiko stark gestiegen ist.
Some of these risks were due to an inadequate awareness of the risks inherent in such transportation. ||| Vielfach waren die Unfälle auf die ungenügende Kenntnis der mit diesen Transporten verbundenen Risiken zurückzuführen.
It therefore proved necessary, in the context of establishing the internal market, to adopt some measures intended to ensure better risk prevention. ||| So erwies es sich also als notwendig, im Rahmen der Schaffung des Binnenmarktes Maßnahmen für eine bessere Risikovorbeugung zu treffen.
Directive 96/35/EC was a response to this requirement. ||| Dieser Forderung entsprach die Richtlinie 96/35/EG.
Firms involved in the transport of dangerous goods and in the loading and unloading operations related to such transportation have been obliged, quite rightly, to comply with regulations regarding risk prevention, whether road, rail or inland waterway transport is involved. ||| Den Unternehmen, deren Tätigkeit die Gefahrgutbeförderung oder das mit dieser Beförderung zusammenhängende Verladen oder Entladen umfaßt, wurden zu Recht Vorschriften zur Risikovorbeugung auferlegt, die für die Beförderung auf Straße, Schiene oder Binnenwasserstraßen gelten.
In order to facilitate achieving this objective, Directive 96/35/EC provided for the appointment of safety advisers for dangerous goods who would have appropriate professional training. ||| Um die Umsetzung dieses Ziels zu erleichtern, sah die Richtlinie 96/35/EG die Einsetzung von entsprechend ausgebildeten Sicherheitsberatern für den Gefahrguttransport vor.
This professional training would be targeted at awareness of the terms of the legislation, regulations and administrative conditions applicable to such transport. ||| Das Ziel dieser Schulung der Sicherheitsberater sollte in der Vermittlung von Kenntnissen über die wichtigsten für diese Transporte geltenden gesetzlichen, behördlichen und Verwaltungsvorschriften bestehen.
While this represented significant progress at the time, the lack of specific terms governing the harmonisation of examination requirements proved to be a problem. ||| Dies stellte zwar seinerzeit einen Fortschritt dar, jedoch erwies sich das Fehlen von speziellen Bestimmungen für die Harmonisierung der Prüfungsbedingungen als problematisch.
It therefore seemed essential to make good this omission in order to achieve the standardised, high-level training of safety advisers, but also in order to avoid any disparities between the costs of training, with a concomitant effect on competition between the firms of different Member Sates. ||| Diese Lücke mußte unbedingt geschlossen werden, um ein hohes und einheitliches Ausbildungsniveau der Sicherheitsberater zu erreichen und um gleichzeitig ungleiche Ausbildungskosten und damit Auswirkungen auf den Wettbewerb zwischen den Unternehmen der Mitgliedstaaten zu vermeiden.
